,Day,Hi mean,H slope,H intercept,H SD,Lo mean,L slope,L intercept,L SD
90,91,49,-0.0007708868671437233,49.47920110192839,12.080773900674394,31,-0.0008333912077227017,31.61625344352617,8.307871465743586
91,92,50,-0.002920341690395139,50.31542699724519,11.471774520284894,33,0.035641363983609946,30.99600550964188,9.706779518844082
92,93,50,0.00783040488922834,49.859090909090924,10.621179491069372,31,0.030057642891867437,29.661570247933895,6.431082609437679
93,94,49,-0.0031321619556915164,50.00303030303032,11.594683897281161,31,0.0027571359122160253,31.569283746556493,7.306878690006848
94,95,50,-0.039419404125286515,52.84545454545456,11.535112636182266,31,0.0021668171400790774,31.521074380165306,7.8864312790594795
95,96,51,-0.11537259531911927,57.973002754820946,12.73702723342845,32,-0.03703729425654568,34.30371900826447,8.143048796211344
96,97,51,-0.10427807486631031,57.587878787878815,12.523043186233036,32,-0.03874921869574285,34.897245179063376,7.643853831710823
97,98,50,-0.0362177929022848,52.73829201101931,11.729860862531229,32,-0.028689492325855964,34.3236914600551,7.591662092936785
98,99,50,-0.0023126606014306425,50.22093663911846,12.540075813190295,32,0.01655670532675877,31.03154269972453,7.895305842191087
99,100,51,-0.0004757274810750231,51.06997245179065,12.128441352286552,32,-0.005920550038197144,32.860606060606074,7.85583959142971
100,101,51,-0.016730328495034443,52.3287878787879,10.171085507071352,32,-0.008997152580040295,32.94366391184574,7.393496839669799
101,102,52,-0.012674491284116839,53.35413223140497,10.181050118362299,32,-0.010802833530106236,33.63443526170799,6.477492814759898
102,103,53,-0.0056566428224181595,53.39490358126723,10.295055379457963,34,0.019772206403222387,33.173553719008275,6.828819305651871
103,104,54,-0.005007292173067577,55.19793388429754,11.097278037065339,34,0.011195221890409012,34.05055096418734,6.8368543227724485
104,105,55,0.005055906660184501,54.98250688705237,10.372218333860221,35,0.02066810195152429,34.03691460055097,7.707612011068362
105,106,55,0.027880408361691686,54.09944903581268,11.036985821428283,36,0.03506146260156952,33.955509641873284,7.363772134987773
106,107,56,0.03808945065629567,54.392011019283764,11.16228330707705,36,0.01727203278005409,35.80564738292012,7.789600191823669
107,108,56,-0.03271754982984935,58.88002754820939,11.821311998545116,36,0.005489964580873589,36.28168044077136,7.4453706030906845
108,109,59,-0.033061323703034974,61.45881542699726,12.059374005335444,37,0.008764497534550912,37.41184573002756,7.7965014059941975
109,110,58,0.03437738731856376,56.23787878787879,11.78532297117962,38,0.002590457670671568,38.37920110192838,8.216537262973834
110,111,59,0.027418570734078718,57.66859504132232,12.167320883374101,38,0.04609000625043396,35.39931129476586,7.953959780541777
111,112,60,-0.019150635460795873,61.76446280991736,11.960061338759546,38,0.02092853670393778,36.91308539944904,8.196121067933543
112,113,59,-0.027467185221196094,61.10096418732784,11.661855750772293,38,-0.01168483922494624,38.78691460055098,7.817235679539654
113,114,59,-0.027147718591568858,61.265289256198365,11.480820689196348,38,0.016146954649628373,37.27258953168045,7.26535850276292
114,115,59,-0.0642370997985971,62.83044077134988,10.809656306644865,38,-0.002003611361900152,38.61088154269974,7.624590726950621
115,116,59,-0.0676401138967984,63.84958677685952,10.936533870895465,39,0.004194735745537842,39.617079889807165,8.159062943944562
116,117,60,-0.057816515035766285,64.0400826446281,11.207290544308101,39,-0.0027119938884643696,39.35303030303031,7.335072686519649
117,118,61,-0.03329745121188982,63.422865013774135,12.281567683398757,39,0.0041565386485172134,39.0443526170799,8.350912830226356
118,119,61,-0.05832349468713136,64.48691460055099,11.604101950294524,39,-0.008125564275296964,40.016804407713515,7.9588577928586455
119,120,62,-0.06403222446003216,66.25991735537193,9.82438229075793,40,-0.016202514063476586,41.41404958677687,6.723656968139442
120,121,63,0.0002639072157790226,63.58429752066115,9.649661464867803,41,0.027960275019098552,39.936363636363645,7.45789300454404
121,122,64,0.012188346412945257,63.55812672176311,10.779051682874186,41,0.026206681019515295,40.249035812672176,7.5172583878344765
122,123,62,-0.017094937148413113,63.858815426997246,10.338795204205846,41,0.04427043544690597,38.62424242424243,7.649348665998014
123,124,62,-0.02856448364469767,64.58292011019286,10.839690011795575,40,0.036127508854781526,38.68374655647384,7.437508091467482
